No,Nama Barang,Merk,Tipe,Seri Number,Tahun,Ruang Pemilik,Lokasi Fisik saat Ini,Kondisi,Status Kalibrasi,Tanggal Kalibrasi Terakhir,Keterangan
425,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
426,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
427,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
428,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
429,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
430,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
431,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
432,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
433,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
434,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
435,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
436,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
437,Infusion Stand,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
438,Monitor Pasien,Dixion,Stroom 5900-05,50922055173-1,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,Manset dan Colokan SpO2 Rusak
439,Monitor Pasien,Dixion,Stroom 5900-05,50922055173-2,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,Manset dan Colokan SpO2 Rusak
440,Monitor Pasien,Dixion,Stroom 5900-05,50922055188,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
441,Monitor Pasien,Dixion,Stroom 5900-05,50922055197,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Ringan,BELUM DIKALIBRASI,Belum ada data,Manset Tensi Rusak
442,Monitor Pasien,Philips,,DG 671R3911,2020,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Ringan,BELUM DIKALIBRASI,Belum ada data,Manset Tensi Rusak
443,Monitor Pasien,Inomed,Innocare-T12,Q068A050007,2021,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Ringan,BELUM DIKALIBRASI,Belum ada data,Manset Tensi Rusak
444,Monitor Pasien,Inomed,Innocare-T12,Q068A050009,2021,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
445,Nebulizer,Philips,Inospire Elegance,Ref 1095067,2015,Irna Penyakit Dalam,Ruang Isolasi,Baik,BELUM DIKALIBRASI,Belum ada data,
446,Nebulizer,Omron,NE-C900,20180201067,2018,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
447,Nebulizer,Omron,NE-417-C3,20121100053 AF,2013,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
448,Oxigen Concentrator,Yuwell,9F5AW,200501092,2020,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,Jarang dipakai
449,Oxigen Concentrator,Krober,Krober 02,1013055928,2013,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,Jarang dipakai (Masih dibungkus)
450,Oxigen Concentrator,Krober,Krober 02,1021051798,2013,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,Jarang dipakai (Masih dibungkus)
451,Oxygen Portable,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
452,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
453,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
454,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
455,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
456,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
457,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
458,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
459,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
460,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
461,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
462,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
463,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
464,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
465,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
466,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
467,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
468,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
469,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
470,Paramount Bedside Cabinet,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
471,Pulse Oximeter,ChoiceMed,MD300C29,201708 749887,2020,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
472,Pulse Oximeter,Mindray,UPM006-10CD,Z1160001382,2021,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,Hilang Charge
473,Pulse Oximeter,Beurer P60,,89077 ulm,2025,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
474,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
475,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
476,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
477,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
478,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
479,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
480,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
481,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
482,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
483,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
484,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
485,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
486,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
487,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
488,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
489,Regulator Oxygen,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
490,Set GV Lengkap,,,,2025,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
491,Stethoscope,GEA,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
492,Stethoscope,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
493,Suction,Sani,SN703A-D,SANM 094-23-008,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,Jarang dipakai
494,Suction,Sani,SN703A-D,SANM 094-23-007,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
495,Suction Portable,General Care,Phlegm Suction 7E-A,20130722482,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
496,Suction Pump,Aspimed 3.3,Moretty,1621,2013,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
497,Syringe Pump,Precisionemed,Accu Drip 20,AD 0002230075,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
498,Syringe Pump,Precisionemed,Accu Drip 20,AD 0002230070-1,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
499,Syringe Pump,Precisionemed,Accu Drip 20,AD 0002230070-2,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
500,Syringe Pump,Precisionemed,Accu Drip 20,AD 0002230070-3,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
501,Syringe Pump,Precisionemed,Accu Drip 20,AD 0002230070-4,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
502,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196637,,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
503,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196632,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
504,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196958,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
505,Syringe Pump,Fresenius Kabi,Injectomat Agilia,018094/23196639,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
506,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
507,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
508,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
509,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
510,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
511,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
512,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
513,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
514,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
515,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
516,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
517,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
518,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
519,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
520,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
521,Tempat tidur Pasien,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
522,Tensi Meter,Regal,Clock Aneroid,20005180,2020,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Ringan,BELUM DIKALIBRASI,Belum ada data,Manset Tensi Rusak
523,Tensi Meter,,DM-500,151006059,2018,Irna Penyakit Dalam,IPSRS,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
524,Tensi Meter,,DM-500,151006152,2018,Irna Penyakit Dalam,IPSRS,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
525,Tensi Meter BIASA,Jziki,,2020 10052740,2025,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
526,Tensi Meter Digital,Fora P60,,0471989-3235142,2025,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
527,Thermometer,HuBDic,FS-300,Y432406,2018,Irna Penyakit Dalam,Irna Penyakit Dalam,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
528,Thermometer,OneHealt,Infrared Forehead,XC22103106940,2023,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
529,Timbangan,Seca,,7621019008,2017,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
530,Trolly Emergency,Mak,36603,,2011,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
531,Trolly Tindakan,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
532,Trolly Tindakan,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
533,Trolly Tindakan,,,,,Irna Penyakit Dalam,Irna Penyakit Dalam,Baik,BELUM DIKALIBRASI,Belum ada data,
534,Ambu Bag,Ambu,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
535,Ambu Bag,Greatcare,,,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
536,Ambu Bag,Greatcare,,,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
537,Ambu Bag,Greatcare,,,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
538,Ambu Bag warna biru,,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
539,Ambu Bag warna hitam,,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
540,Bed dengan Bedrails,Paramount,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
541,Bed dengan Bedrails,Paramount,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
542,Bed dengan Bedrails,Paramount,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
543,Bedside Cabinet,Paramount/ Tanpa merk,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
544,Box Bayi,Paramount,-,-,2007,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
545,Box Bayi,Paramount,-,-,2007,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
546,Box Bayi,Paramount,-,-,2007,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
547,Box Bayi,Paramount,-,-,2007,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
548,Box Bayi,Paramount,-,-,2007,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
549,Box Bayi,Tanpa merk,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
550,Box Bayi,Tanpa merk,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
551,Box Bayi,GEA,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
552,Box Bayi,GEA,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
553,Box Bayi,GEA,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
554,Box Bayi,GEA,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
555,Box Bayi,GEA,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
556,CPAP,One Med,AD Series,SN 18037I045,2019,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
557,Fototherapi,Mediled,LED Phototherapy,SN 1861-12,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
558,Fototherapi,Mediled,LED Phototherapy,SN 1856-12-1,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
559,Fototherapi,Mediled,LED Phototherapy,SN 1856-12-2,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
560,Fototherapi,Mediled,LED Phototherapy,SN 1856-12-3,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
561,Fototherapi,Mediled,LED Phototherapy,SN 1856-12-4,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
562,Fototherapi,Mediled,LED Phototherapy,SN 1856-12-5,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
563,Fototherapi,Atom,Phototherapy,SN 1692-777,2006,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
564,Fototherapi,Mediled,LED Phototherapy,SN 468-09,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
565,Fototherapi,Medixe,Phototherapy PH1A,SN 40401109140,2009,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
566,Fototherapi,Mediled,Phototherapy PH1A,SN 40401109074,2009,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
567,Gunting perband,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
568,Incubator,Dixion,Baby Guard - 1107,SN 11/20/2304/4001,2023,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
569,Incubator,Dixion,Baby Guard - 1107,SN 11/20/2304/4002,2023,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
570,Incubator,Dixion,Baby Guard - 1107,SN 11/20/2304/4003,2023,Irna Perinatology,Irna Perinatology,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
571,Incubator,YP 100,YP 100,SN 05094271,2005,Irna Perinatology,Irna Perinatology,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
572,Incubator,YP 100,YP 100,SN 06045020,2006,Irna Perinatology,Irna Perinatology,Rusak Berat,BELUM DIKALIBRASI,Belum ada data,
573,Infant Warmer,SANI,SN 100/W,SN SANM021-22-133,2022,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
574,Infant Warmer,FAZZINI,BN-100A,SN 1190730039,2022,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
575,Infant Warmer,ATOM,C20-0304,SN 615652200024,2022,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
576,Infant Warmer,ATOM,C20-0304,SN 615652200025,2022,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
577,Infant Warmer,Medix,SM 401,SN 1151-05,2008,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
578,Infant Warmer,Medix,SM 401,SN 5089-13,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
579,Infant Warmer,Medix,SM 401,SN 5001-13,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
580,Infus Pump,B-Braun,8713070,SN 227241,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
581,Infus Pump,B-Braun,8713070,SN 227252,2013,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
582,Infus Pump,Optima PTIS,Optima PTIS,SN 097390/23495695,2018,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
583,Kasur Matras,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
584,Kasur Matras,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
585,Kasur Matras,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
586,Korentang,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
587,Laringoscope set,-,-,-,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
588,Monitor Lengkap + EKG,Altus Omni II,-,SN OMNI 209103045,2009,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
589,Monitor Lengkap + EKG,,,,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
590,Neirbekken / Bengkok,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
591,Neo Transport Incubator,Fanem,ITS 158 TS,SN 3070110074,2012,Irna Perinatology,Irna Perinatology,Rusak Ringan,BELUM DIKALIBRASI,Belum ada data,Baterai Tidak Baik
592,Neo Transport Incubator,Medix,TR 200,SN 2111-11,-,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
593,Neo Transport Incubator,Medix,TR 200,SN 2102-11,2017,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
594,Neopuff,Fisher and Paykel,RD900AEU,SN 090901002849,2009,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
595,Pulse Oximetri,One Med,Bionet,SN O2A4ENA0061,2023,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
596,Pulse Oximetri,One Med,Bionet,SN ENAA0038,2023,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
597,Pulse Oximetri  + Charger,Advanced,PO-100B,SN 261999-M21902290001,2022,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
598,Regulator O2,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
599,Regulator O2,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
600,Regulator O2,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
601,Regulator O2,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
602,Regulator O2,-,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
603,Regulator oksigen central,RMS,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
604,Regulator oksigen central,RMS,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
605,Regulator oksigen central,RMS,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
606,Regulator oksigen central,RMS,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
607,Regulator oksigen central,RMS,-,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
608,Resusitasi Flow / Neopuff,Resusci Flow,Rail Mounting,SN 220100255,2022,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
609,Stetoscope,Erka,Infant,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
610,Stetoscope,Erka,Infant,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
611,Stetoscope,ABN,Infant,-,,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
612,Suction Mobile,Atmos,-,SN 007408006500065,2009,Irna Perinatology,Irna Perinatology,Baik,BELUM DIKALIBRASI,Belum ada data,
